Month,Date,^GSPC,MSFT,CRM,NVDA,ADBE,INTC,TSM,JPM,MS,V,RY,GS,BAC,JNJ,PFE,AMGN,ZTS,CVS,AZN,GOOGL,META,NFLX,T,BIDU,EA,AMZN,TSLA,HD,NKE,SBUX,JD
1,1/1/15,1994.98999,35.172421,56.450001,4.610796,70.129997,25.971867,17.671133,42.841724,27.535347,60.231667,41.701324,148.466736,12.921862,80.195381,21.972641,120.970001,40.404251,80.01712,26.32583,26.877501,75.910004,63.114285,13.040134,217.919998,54.115864,17.7265,13.573333,86.433998,42.23999,37.560879,23.869673
2,2/1/15,2104.5,38.175991,69.379997,5.297609,79.099998,26.136938,19.087318,48.588261,29.232225,64.106773,46.600647,163.43309,13.484796,82.093338,24.131235,125.307961,43.66333,84.972992,25.532793,28.1315,78.970001,67.844284,13.948087,203.75,56.404396,19.007999,13.556,94.98468,44.469902,40.118443,26.589125
3,3/1/15,2067.889893,35.650692,66.809998,5.045598,73.940002,24.75683,18.270283,48.033226,29.150547,61.93425,44.918793,162.373978,13.126563,81.127686,24.677494,127.6726,43.852806,84.433052,26.07021,27.735001,82.220001,59.527142,13.177229,208.399994,58.022144,18.605,12.584667,94.041061,46.072945,40.785995,28.232327
4,4/1/15,2085.51001,42.647549,72.82,5.351758,76.059998,25.770218,19.017284,50.158184,30.473707,62.54026,49.473186,169.673325,13.629629,79.998665,24.067474,126.123123,42.081257,81.226212,26.089262,27.438499,78.769997,79.5,13.980376,200.279999,57.302048,21.089001,15.07,89.00869,45.388725,42.706875,32.249046
5,5/1/15,2107.389893,41.086853,72.75,5.33488,79.089996,27.282393,18.892784,52.502926,31.327469,65.030502,47.805573,178.112976,14.117322,80.756744,24.649118,124.805229,47.234196,84.04409,25.734955,27.266001,79.190002,89.151428,14.206614,197.399994,61.908703,21.4615,16.719999,92.702843,46.688301,44.756927,32.364353
6,6/1/15,2063.110107,38.962311,69.629997,4.87036,81.010002,24.25803,17.671133,54.083294,31.811319,63.693069,45.942341,180.921387,14.562232,79.168602,23.980537,123.221199,45.763172,86.096367,24.271997,27.002001,85.769997,93.848572,14.609699,199.080002,65.597984,21.7045,17.884001,92.461586,49.739719,46.333744,32.767948
7,7/1/15,2103.840088,41.212688,73.300003,4.831611,81.989998,23.085796,17.751143,54.697861,31.852324,71.461449,43.838684,177.698013,15.34392,81.402504,25.789986,141.738113,46.484447,92.327011,25.746384,32.875,94.010002,114.309998,14.288877,172.660004,70.579468,26.807501,17.743334,97.887589,53.055096,50.058086,31.739744
8,8/1/15,1972.180054,38.406338,69.360001,5.444341,78.57,22.758844,15.960773,51.496414,28.360512,67.629425,42.167675,163.426315,14.022356,76.341766,23.043631,121.824631,42.583851,84.326454,23.833881,32.390999,89.43,115.029999,13.897229,147.25,65.252724,25.644501,16.604,97.410866,51.457283,47.275627,24.869047
9,9/1/15,1920.030029,39.316944,69.43,5.995003,82.220001,24.234415,16.659258,48.98185,25.931963,66.182129,41.932388,151.086121,13.370155,76.410072,22.639872,111.537544,39.149006,79.451347,24.570047,31.918501,89.900002,103.260002,13.637704,137.410004,66.831009,25.5945,16.559999,96.599518,56.623718,49.251629,25.042015
10,10/1/15,2079.360107,46.761063,77.709999,6.899726,88.660004,27.225523,17.630714,51.616913,27.142126,73.706696,43.131546,163.033203,14.44631,82.696396,24.376966,127.552094,40.888756,81.345406,24.624098,36.869499,101.970001,108.379997,14.026991,187.470001,71.092415,31.295,13.795333,103.943031,60.48811,54.216652,26.541079
11,11/1/15,2080.409912,48.280087,79.690002,7.714463,91.459999,27.957214,18.272997,53.955631,28.369059,75.065277,43.607979,165.224365,15.005912,82.868317,23.620136,129.906708,44.396763,77.746048,26.29195,38.142502,104.239998,123.330002,14.362274,217.970001,66.870483,33.240002,15.350667,112.551689,61.065125,53.19418,29.481544
12,12/1/15,2043.939941,49.616062,78.400002,8.046475,93.940002,27.895037,18.264969,53.429691,26.30961,73.810616,41.099674,157.248489,14.48936,84.699562,23.454754,131.561127,45.64222,80.786812,26.214743,38.900501,104.660004,114.379997,14.677923,189.039993,67.787865,33.794498,16.000668,111.181358,57.70443,52.184158,31.004629
13,1/1/16,1940.23999,49.267288,68.059998,7.150523,89.129997,25.117683,17.943827,48.145782,21.404993,70.898155,39.30471,140.959091,12.207744,86.117813,22.154133,123.780785,41.0037,79.81179,24.87891,38.067501,112.209999,91.839996,15.381749,163.270004,63.674431,29.35,12.746667,106.193291,57.390812,52.827446,25.013187
14,2/1/16,1932.22998,45.502262,67.75,7.65587,85.150002,23.959778,18.907253,45.862053,20.549959,68.899414,39.566269,130.46312,10.809119,86.752724,21.558317,115.311485,39.194134,80.651634,22.137749,35.861,106.919998,93.410004,16.056393,173.419998,63.368629,27.625999,12.795333,104.808434,57.002098,50.602024,24.705688
15,3/1/16,2059.73999,49.747124,73.830002,8.72999,93.800003,26.425173,21.034824,48.240677,20.807875,72.935791,44.681866,137.558243,11.672467,89.864754,21.75304,122.356468,42.315544,86.096481,22.447517,38.145,114.099998,102.230003,17.02108,190.880005,65.213264,29.681999,15.318,112.669907,56.891041,52.066891,25.464828
16,4/1/16,2065.300049,44.919235,75.800003,8.705487,94.220001,24.734289,18.939367,51.482792,22.513439,73.660576,48.221634,143.806107,12.618183,93.08725,24.00614,129.187088,44.892841,83.41555,23.085234,35.394001,117.580002,90.029999,16.86899,194.300003,61.011047,32.9795,16.050667,113.680046,54.69014,49.040558,24.561546
17,5/1/16,2096.949951,47.73851,83.709999,11.447238,99.470001,25.804369,19.846594,53.562653,22.896015,75.281815,47.22464,139.748947,12.817511,93.593903,25.466616,128.90152,45.359287,80.384224,23.675121,37.442501,118.809998,102.57,17.292818,178.539993,75.708939,36.1395,14.882,112.1772,51.238369,47.871883,23.648659
18,6/1/16,2098.860107,46.412548,79.410004,11.548203,95.790001,27.024189,21.058905,50.99408,21.733229,70.858131,46.346191,130.731232,11.500226,101.464142,26.072323,124.985603,45.397545,79.792503,24.065718,35.176498,114.279999,91.480003,19.086151,165.149994,74.732368,35.780998,14.152,108.977287,51.219807,49.991077,20.40069
19,7/1/16,2173.600098,51.410267,81.800003,14.026855,97.860001,28.721434,23.140465,52.495838,24.033701,74.56488,47.812893,139.732254,12.600114,104.751503,27.316326,141.316269,48.37793,77.275543,27.21443,39.567001,123.940002,91.25,19.121481,159.600006,75.284782,37.940498,15.652667,117.981247,51.648609,50.805,20.804283
20,8/1/16,2170.949951,52.117741,79.419998,15.068428,102.309998,29.570068,23.940132,55.823872,27.004147,77.287605,49.218578,149.102859,14.034912,99.824646,25.768726,139.698044,48.981823,78.18531,26.154228,39.4925,126.120003,97.449997,18.325626,171.070007,80.128174,38.458,14.134,114.465019,53.640118,49.212147,24.417406
21,9/1/16,2168.27002,52.570351,71.330002,16.863241,108.540001,31.338299,25.481163,55.071278,27.004147,79.144341,49.091812,142.451645,13.672155,99.471725,25.288559,137.824844,49.854084,74.49369,26.543964,40.202999,128.270004,98.550003,18.20459,182.070007,84.241623,41.865501,13.602,110.385384,48.996399,47.547997,25.070843
22,10/1/16,2126.149902,54.687782,75.160004,17.512966,107.510002,28.947451,25.905994,57.27943,28.276012,78.962524,49.503822,157.441437,14.414731,97.669708,23.675817,116.631844,45.818592,70.400246,22.876598,40.494999,130.990005,124.870003,16.492168,176.860001,77.454933,39.491001,13.182,104.663696,46.827778,46.60828,24.936314
23,11/1/16,2198.810059,54.998085,72,22.691055,102.809998,28.806328,24.731478,66.78421,35.046207,73.995628,51.867432,193.70137,18.450859,93.720505,23.99688,119.036194,48.291656,64.682915,21.115616,38.793999,118.419998,117,17.597282,166.949997,78.165161,37.5285,12.626667,111.003029,46.725132,50.911674,25.820375
24,12/1/16,2238.830078,57.09705,68.459999,26.308777,102.949997,30.337637,23.948467,71.882347,35.800335,74.822693,54.179955,212.16452,19.378637,97.683319,24.492599,121.620346,51.413254,66.382233,22.06881,39.622501,115.050003,123.800003,19.373867,164.410004,77.691673,37.4935,14.246,115.628395,47.434361,48.98584,24.446236
25,1/1/17,2278.870117,59.403351,79.099998,26.910179,113.379997,30.797678,25.747725,70.49955,36.003708,79.32048,57.508686,203.188843,19.852144,96.021492,23.927036,130.329498,52.767506,66.298103,21.996107,41.009499,130.320007,140.710007,19.20532,175.070007,82.298332,41.174,16.795334,118.646759,49.544189,48.721149,27.290609
26,2/1/17,2363.639893,58.787731,81.349998,25.01232,118.339996,30.279093,26.214197,75.907104,38.874886,84.336151,58.6675,219.793411,21.640938,103.618401,25.729294,146.841125,51.303177,68.196922,23.635921,42.246498,135.539993,142.130005,19.33082,174.130005,85.326698,42.251999,16.666,124.968025,53.533955,50.176952,29.375841
27,3/1/17,2362.719971,60.882027,82.489998,26.882444,130.130005,30.385733,27.3554,73.578415,36.465958,85.390289,58.861225,204.075302,20.685156,106.301201,26.05998,137.417923,51.360928,66.436592,25.988951,42.389999,142.050003,147.809998,19.219805,172.520004,88.305717,44.327,18.553333,126.623772,52.194668,51.750221,29.894747
28,4/1/17,2384.199951,63.285507,86.120003,25.739822,133.740005,30.453125,27.546986,72.874825,36.917088,87.64827,55.284855,198.816177,20.528326,105.379448,25.839062,136.789795,53.997772,69.771103,25.246174,46.226002,150.25,152.199997,18.331663,180.229996,93.533836,46.2495,20.938,135.437363,52.05666,53.230316,33.700058
29,5/1/17,2411.800049,64.561195,89.639999,35.623615,141.860001,30.419436,29.454529,69.207634,35.690495,91.501274,56.296955,187.676056,19.71036,109.459084,24.871628,130.022278,60.054104,65.441391,28.701347,49.3545,151.460007,163.070007,18.105818,186.100006,111.792747,49.730999,22.733999,133.19017,49.783112,56.376637,38.466305
30,6/1/17,2423.409912,64.085205,86.599998,35.71302,141.440002,28.634367,29.121334,77.000343,38.10178,90.267906,59.083286,197.791916,21.407579,113.655907,25.835356,145.295288,60.150543,68.533279,28.450974,46.484001,150.979996,149.410004,17.729883,178.860001,104.28598,48.400002,24.107332,133.863907,55.429394,51.892197,37.687946
31,7/1/17,2470.300049,67.590271,90.800003,40.147495,146.490005,30.102575,30.930309,77.337334,40.102642,95.831474,60.7453,200.849243,21.284042,114.025337,25.504627,147.218719,60.388054,68.081871,25.18775,47.275002,169.25,181.660004,18.326677,226.350006,115.156502,49.389,21.564667,130.547867,55.665451,48.038776,43.405518
32,8/1/17,2471.649902,69.514763,95.489998,41.859531,155.160004,29.763107,31.799049,76.991859,39.112671,99.643143,60.897217,199.432022,21.081085,113.724617,26.089172,149.968857,60.561913,66.304161,24.895645,47.762001,171.970001,174.710007,17.907778,228.050003,119.851944,49.029999,23.726667,130.783432,49.783115,48.821915,40.272869
33,9/1/17,2519.360107,69.623428,93.419998,44.203346,149.179993,32.560223,32.297928,80.905418,41.407848,101.461868,63.602448,212.142761,22.474976,112.40757,27.72645,158.352203,61.585773,69.71624,28.70998,48.686001,170.869995,181.350006,18.725246,247.690002,116.458611,48.067501,22.74,143.57402,49.046097,48.014263,36.70779
34,10/1/17,2575.26001,77.745659,102.339996,51.136627,175.160004,38.896137,36.409351,85.225586,42.980949,106.031693,64.260269,216.874207,24.29319,120.534874,27.229391,148.814606,61.643715,58.75127,29.235374,51.652,180.059998,196.429993,16.086401,243.940002,117.977715,55.264,22.101999,145.52272,52.016296,49.024429,36.054356
35,11/1/17,2647.580078,78.670982,104.32,49.628323,181.470001,38.340355,34.061195,89.055222,44.582798,108.547989,64.383614,221.489319,24.985006,120.465721,28.161379,149.188263,69.824875,66.101845,27.854107,51.808498,177.179993,187.580002,17.68182,238.580002,104.90744,58.837502,20.59,157.847153,57.152649,51.688416,35.987091
36,12/1/17,2673.610107,80.353035,102.230003,47.878788,175.240005,39.702908,34.104198,91.117188,45.325699,110.121429,67.138222,228.573471,26.29394,121.542664,28.38736,148.703094,69.690315,62.563755,29.404852,52.669998,176.460007,191.960007,18.896896,234.210007,103.634933,58.473499,20.756666,167.21347,59.167477,51.611748,39.802006
37,1/1/18,2823.810059,89.248795,113.910004,60.819675,199.759995,41.405941,38.972546,98.555489,48.850166,119.982307,70.443748,240.353867,28.502914,120.211746,29.030027,159.092682,74.227348,67.905411,29.709915,59.111,186.889999,270.299988,18.201874,246.919998,125.237869,72.544502,23.620667,177.24469,64.745193,51.054562,47.306923
38,2/1/18,2713.830078,88.083969,116.25,59.879417,209.130005,42.395077,37.286686,98.923294,48.603848,118.736443,65.423752,235.903671,28.591984,112.982857,28.457884,157.143021,78.351227,58.810741,28.125275,55.195999,178.320007,291.380005,17.953669,252.339996,122.022095,75.622498,22.870667,160.808334,63.615807,51.315186,45.308178
39,3/1/18,2640.870117,86.138321,116.300003,57.339233,216.080002,45.098701,37.639336,94.186958,46.816559,115.731094,64.09684,226.605865,26.712578,112.191765,28.072906,146.880615,80.919022,54.017662,30.47426,51.856998,159.789993,295.350006,17.632179,223.190002,119.595474,72.366997,17.742001,157.252838,63.055832,52.307323,38.908337
40,4/1/18,2648.050049,88.261795,120.989998,55.682858,221.600006,44.700363,33.072048,93.167747,44.786327,122.755066,63.06852,214.432526,26.750227,110.738487,28.958841,150.326889,80.889946,60.634201,30.962261,50.929001,172,312.459991,16.173134,250.899994,116.379692,78.306503,19.593332,163.970215,65.102821,52.018188,35.083805
41,5/1/18,2705.27002,93.282677,129.330002,62.439568,249.279999,47.800453,33.287075,92.11657,43.711605,126.470222,63.294106,203.230927,25.963453,104.723984,28.42095,154.755356,81.22216,55.463333,32.269428,55,191.779999,351.600006,16.287815,242.559998,129.134323,81.481003,18.982,165.52298,68.348953,51.204975,33.805763
42,6/1/18,2718.370117,93.469009,136.399994,58.690197,243.809998,43.294838,31.446405,89.697662,41.322895,128.349915,63.051289,199.155121,25.306482,107.017662,28.977951,160.264877,82.668045,56.303299,30.596258,56.459499,194.320007,391.429993,16.181984,243,139.107178,84.989998,22.863333,174.078461,75.850189,44.369923,37.428493
43,7/1/18,2816.290039,100.549553,137.149994,60.662228,244.679993,41.892612,36.742397,98.951492,44.077763,132.507111,65.286964,214.378204,27.721321,116.878052,31.893314,170.648788,83.919884,56.749531,34.099449,61.361,172.580002,337.450012,16.111433,247.179993,127.003601,88.872002,19.875999,176.237701,73.417847,47.585258,34.459198
44,8/1/18,2901.52002,106.473732,152.679993,69.536362,263.51001,42.180019,38.873295,99.168991,42.821205,142.342926,67.202522,214.721329,27.766211,118.791901,33.163288,173.479218,88.046967,66.331467,33.411011,61.59,175.729996,367.679993,16.429121,226.479996,111.871674,100.635498,20.110666,179.137543,78.467636,48.54805,30.077324
45,9/1/18,2913.97998,108.824547,159.029999,69.658691,269.950012,41.437622,39.372593,97.663017,40.839306,145.66246,67.768753,203.139282,26.446577,122.673248,35.499783,181.198425,88.979935,69.399452,34.882809,60.354,164.460007,374.130005,17.272696,228.679993,118.855637,100.150002,17.651333,185.777527,81.072418,51.98658,25.070843
46,10/1/18,2711.73999,101.631096,137.240005,52.260128,245.759995,41.078365,33.969551,94.356804,40.041283,133.783554,61.557236,204.162979,24.806398,124.289146,34.686192,168.523544,87.609665,63.818932,34.18639,54.528999,151.789993,301.779999,15.781009,190.059998,89.745918,79.900497,22.488001,157.73378,71.809196,53.294476,22.601236
47,11/1/18,2760.169922,105.513275,142.759995,40.5107,250.889999,43.207634,33.514839,96.908844,39.195118,137.529663,62.534958,172.746323,25.618246,130.424103,37.239727,182.037643,91.224831,71.192917,35.103203,55.482498,140.610001,286.130005,16.387098,188.279999,82.929649,84.508499,23.365334,161.715652,71.885735,61.022957,20.40069
48,12/1/18,2506.850098,97.062683,136.970001,33.124817,226.240005,41.380959,32.908569,85.081779,35.009827,128.277786,58.488884,151.943634,22.226532,115.305763,35.432793,171.355148,83.243248,58.161587,33.481152,52.248001,131.089996,267.660004,14.970799,158.600006,77.839653,75.098503,22.186666,155.014404,71.158531,59.217297,20.11241
49,1/1/19,2704.100098,99.795784,151.970001,35.668121,247.820007,41.548492,33.541592,90.206528,37.349701,131.262543,65.027473,180.103912,25.824911,118.906525,34.458694,164.700592,83.846603,58.188221,32.246986,56.294498,166.690002,339.5,15.76812,172.630005,90.988815,85.936501,20.468,165.579056,78.587273,62.656296,23.879282
50,2/1/19,2784.48999,107.058525,163.649994,38.275925,262.5,46.697971,34.816566,91.694725,37.330727,144.008652,66.734695,178.912384,26.378239,122.087372,35.49659,167.314865,91.881004,51.72646,36.65472,56.327499,161.449997,358.100006,16.684311,162.539993,94.48082,81.991501,21.325333,167.031601,82.282463,64.605705,26.62756
51,3/1/19,2834.399902,113.187576,158.369995,44.59943,266.48999,47.650608,36.519497,88.944595,37.52636,152.11972,64.489723,175.333542,25.154446,125.730293,34.776016,168.519867,98.160454,48.238064,36.458,58.844501,166.690002,356.559998,16.812981,164.850006,100.251465,89.037498,18.657333,173.121353,80.823555,68.714111,28.972248
52,4/1/19,2945.830078,125.337448,165.350006,44.9571,289.25,45.290268,39.069439,101.966019,42.906322,160.144989,68.023636,188.055008,27.880495,126.998459,33.252983,159.064011,99.301292,48.640568,33.960133,59.948002,193.399994,370.540009,16.598532,166.229996,93.366142,96.325996,15.912667,185.144684,84.514893,71.801323,29.087563
53,5/1/19,2752.060059,118.696289,151.410004,33.645798,270.899994,39.078823,34.192455,93.812958,36.411682,157.125778,64.76152,166.65773,24.251839,117.959282,33.998119,147.869537,98.694199,47.292004,33.707642,55.325001,177.470001,343.279999,16.743864,110,91.817451,88.753502,12.344,172.55632,74.228355,70.303947,24.753735
54,6/1/19,2941.76001,129.037964,151.729996,40.838295,294.649994,42.737507,34.923565,98.983459,39.203636,169.287277,68.424004,187.691727,26.439974,126.128723,35.78664,164.871063,110.84417,49.206436,37.224491,54.139999,193,367.320007,18.348169,117.360001,99.886482,94.681503,14.897333,189.025757,81.006157,77.845383,29.106779
55,7/1/19,2980.379883,131.263092,154.5,41.954807,298.859985,45.130165,39.244293,102.701988,39.874783,173.627975,68.001747,201.938293,28.122814,117.924217,32.085712,166.928848,112.211548,50.452633,39.145229,60.91,194.229996,322.98999,18.643839,111.699997,91.245308,93.338997,16.107332,195.587051,83.013237,87.930107,28.741623
56,8/1/19,2926.459961,132.794662,156.070007,41.653915,284.51001,42.326828,39.244293,97.954468,37.417118,176.378738,65.054321,187.058701,25.217031,116.239838,29.367842,186.647491,123.651115,55.506172,40.606075,59.526501,185.669998,293.75,19.694645,104.470001,92.409302,88.814499,15.040667,208.602371,81.536896,89.666595,29.308577
57,9/1/19,2976.73999,134.367615,148.440002,43.328014,276.25,46.315704,42.788513,104.935944,38.481277,168.027206,70.623466,191.297409,26.73867,118.041489,29.959454,174.355484,121.861206,57.465115,40.607327,61.056999,178.080002,267.619995,21.135717,102.760002,96.493141,86.795502,16.058001,212.364197,90.860672,82.41893,27.10803
58,10/1/19,3037.560059,138.562027,156.490005,50.036175,277.929993,50.809753,47.871742,111.382431,41.529472,174.718628,70.188362,196.974594,28.85256,120.468346,31.993994,192.141495,125.118263,60.490067,44.670795,62.939999,191.649994,287.410004,21.498779,101.849998,95.0924,88.833,20.994667,216.018494,86.633034,78.8209,29.933186
59,11/1/19,3140.97998,146.303452,162.889999,53.949062,309.529999,52.175953,49.225475,118.422295,44.958786,180.237778,71.840103,204.331833,30.744072,125.440735,32.119061,211.486298,118.031433,69.099998,44.169693,65.204498,201.639999,314.660004,21.261837,118.529999,99.63987,90.040001,21.996,203.061783,90.444679,79.631844,31.374594
60,12/1/19,3230.780029,152.93013,162.639999,58.612072,329.809998,54.08987,53.870777,125.288918,46.448929,183.856735,69.599213,213.448898,32.497192,134.008392,32.985123,218.651047,129.617172,68.20034,45.427002,66.969498,205.25,323.570007,22.228802,126.400002,106.051704,92.391998,27.888666,201.100311,98.265701,82.362518,33.853806